15,10,171,1865,581
8,6,6,94,127
10,1,39,186,103
21,4,32,118,220
14,10,194,1890,602
6,10,5,401,120
12,3,34,427,250
11,1,78,200,144
16,1,58,468,86
15,8,45,419,173
17,8,22,393,155
12,6,42,387,276
13,5,23,434,278
10,4,21,110,189
13,1,48,592,144
16,3,33,417,181
16,10,163,1734,483
13,2,49,432,247
17,2,25,375,163
14,5,34,361,246
6,8,0,87,31
18,5,19,393,128
18,10,124,1440,391
13,10,171,2064,720
11,10,119,672,702
16,7,42,384,177
17,10,128,1594,472
15,6,25,447,207
15,9,42,448,171
11,3,26,131,265
19,10,92,1394,315
11,5,21,112,233
8,4,7,86,100
10,8,18,115,159
11,9,22,148,164
18,1,36,395,65
17,5,22,341,157
20,8,11,667,95
7,4,13,109,80
14,1,47,554,105
19,4,17,349,126
7,10,36,539,166
13,6,42,427,284
20,7,6,727,101
5,10,0,327,76
19,5,15,369,106
5,3,0,49,28
9,10,100,702,404
18,4,21,356,127
16,9,34,421,169
19,9,16,280,99
20,1,23,747,42
16,5,21,443,182
15,3,29,449,193
19,6,12,350,111
8,7,25,103,88
14,7,40,441,232
15,4,27,438,199
15,5,22,345,186
16,4,25,432,186
13,8,47,503,229
14,4,15,377,200
21,3,29,131,206
12,5,24,431,288
20,4,10,697,126
21,6,35,115,257
16,2,34,410,187
20,5,13,683,122
7,7,27,101,55
11,4,34,112,242
19,1,25,384,39
20,10,75,2560,327
7,6,15,94,84
20,2,13,678,109
5,1,0,77,5
13,9,47,546,194
17,4,19,390,148
12,10,170,1979,700
18,6,20,361,125
14,2,45,451,209
19,7,10,353,98
13,3,33,392,243
11,2,25,129,226
12,2,33,396,216
17,7,20,333,138
4,1,0,38,4
6,2,3,79,25
17,3,30,421,163
8,5,13,93,89
18,3,18,337,114
14,8,36,434,218
21,10,106,624,693
17,1,34,444,89
16,6,14,352,164
19,8,14,361,96
14,6,22,451,242
18,9,24,357,116
6,6,1,56,60
11,7,16,118,221
15,1,26,498,97
20,3,8,697,127
14,9,35,491,208
12,7,46,435,245
21,1,31,153,108
20,6,16,685,98
10,10,171,615,505
18,8,23,289,117
14,3,26,442,236
12,4,28,381,276
15,2,36,438,202
21,7,25,129,230
8,10,50,617,220
8,1,16,198,40
13,7,39,492,234
17,6,18,380,158
7,5,9,74,89
15,7,30,400,175
13,4,35,450,274
9,3,21,121,131
6,4,3,62,59
19,3,9,407,88
21,8,31,163,203
9,4,16,116,136
8,2,15,104,92
20,9,12,689,82
21,5,28,109,250
9,1,24,185,76
12,1,50,533,137
12,9,41,484,224
11,6,28,115,214
8,9,20,156,46
9,2,26,105,139
8,8,33,121,77
5,7,0,82,19
10,2,23,105,174
12,8,37,480,219
19,2,15,381,87
10,3,25,108,199
10,6,19,91,203
9,6,17,105,151
5,2,0,54,18
10,7,25,106,175
18,7,9,331,136
8,3,14,104,90
11,8,28,142,204
10,5,29,91,211
9,8,36,137,126
18,2,16,403,102
6,7,3,92,32
5,5,0,50,53
21,9,27,165,191
7,1,10,145,25
10,9,23,130,173
4,10,0,120,30
17,9,39,395,136
16,8,28,382,174
7,9,8,137,56
4,2,0,7,7
7,2,12,90,70
7,8,11,137,39
4,9,0,27,12
5,9,0,60,18
9,5,14,99,150
5,4,0,55,38
6,3,0,71,42
5,6,0,53,41
21,2,36,125,212
9,7,23,111,129
6,9,1,101,34
9,9,37,156,104
7,3,5,96,51
6,5,0,70,58
6,1,3,111,15
5,8,0,74,22
4,6,0,21,22
4,8,0,15,5
4,4,0,16,17
4,5,0,23,18
4,7,0,29,3
4,3,0,21,10
