14,7,0,418,4659,3941,641,4896,3481
15,10,0,1951,22843,8651,2508,23058,7879
20,1,-1,274,8718,755,766,3021,5960
20,5,-1,35,5960,1069,0,0,7064
6,10,0,379,5514,1077,0,6970,0
6,3,1,92,369,1159,108,1394,118
17,6,1,49,2658,1731,332,0,4106
14,9,1,342,3415,1820,406,3939,1232
21,4,0,201,345,4268,0,0,4814
21,8,0,323,1166,3030,0,0,4519
9,3,1,119,224,2800,224,1933,986
20,10,0,820,28762,4097,10180,2616,20883
16,7,0,295,4379,3046,649,2954,4117
14,2,0,40,3557,5377,0,0,8974
19,5,0,53,4216,1844,0,0,6113
16,10,0,1727,21443,7595,2330,18908,9527
14,10,-1,1496,15294,6443,1791,17762,3680
19,7,-2,27,1361,491,0,0,1879
8,10,-2,189,1861,818,0,2868,0
16,5,-2,8,950,882,124,0,1716
12,6,-2,106,902,1221,198,1327,704
15,4,-1,41,1952,2299,323,0,3969
15,2,-1,17,1942,2318,0,0,4277
11,10,-1,1036,4447,5423,0,10906,0
7,6,0,164,621,1063,0,1848,0
10,10,0,2493,7276,7228,0,16997,0
14,1,0,571,6121,2178,656,6829,1385
11,8,0,281,1281,3159,341,4011,369
13,8,0,555,5220,3930,732,6740,2233
11,4,0,165,300,3846,358,2272,1681
6,6,1,277,714,671,0,1662,0
20,8,0,79,8831,1482,0,0,10392
13,5,0,362,3705,5282,733,4375,4241
14,6,1,247,3035,3042,517,2962,2845
19,1,1,100,2214,428,226,1071,1445
21,10,0,1372,6080,7257,1111,0,13598
5,2,1,76,221,818,92,941,82
17,10,0,1455,19835,6275,2077,14831,10657
11,5,1,181,406,3233,311,2331,1178
12,5,1,303,2522,3914,508,3709,2522
16,4,1,32,2837,2508,0,0,5377
12,7,1,306,2762,2743,410,4087,1314
15,6,1,213,2949,2517,436,2189,3054
15,3,2,14,1363,1342,0,0,2719
12,10,2,645,6454,2587,674,9012,0
14,6,2,108,1451,1412,234,1412,1325
20,10,1,398,14619,2086,5234,1393,10476
21,4,1,90,168,2223,0,0,2481
21,5,0,221,555,4109,0,0,4885
9,5,0,138,479,2266,222,2198,463
18,4,1,31,2544,1302,0,0,3877
9,8,2,100,441,745,0,1286,0
16,5,2,29,1313,1085,209,0,2218
10,8,3,37,178,422,45,592,0
16,8,3,38,612,311,64,495,402
19,7,3,8,424,172,0,0,604
5,5,4,9,44,49,0,102,0
11,2,5,7,1,142,12,62,76
15,10,5,29,378,135,33,401,108
21,10,5,21,77,100,18,0,180
21,8,5,3,18,40,0,0,61
12,10,4,120,1213,438,105,1666,0
13,2,0,53,3146,6247,750,0,8696
16,2,0,30,4049,3615,0,0,7694
19,4,0,47,4182,1909,0,0,6138
16,3,1,24,2783,2386,0,0,5193
17,8,1,161,2395,1263,297,1490,2032
16,8,1,198,2840,1593,349,2188,2094
7,10,1,372,4591,1387,0,6350,0
13,3,2,67,1071,1897,970,250,1815
18,9,1,148,2425,863,255,1377,1804
13,7,1,298,2911,2776,489,3725,1771
21,10,1,706,3057,3798,608,0,6953
16,5,1,47,2882,2300,425,0,4804
19,7,2,15,1057,390,0,0,1462
16,7,2,83,1202,845,165,870,1095
17,9,2,74,1221,486,135,829,817
15,5,3,24,596,546,390,106,670
19,2,2,13,1187,544,0,0,1744
5,3,3,15,56,131,15,187,0
16,4,4,1,264,202,0,0,467
15,10,3,201,2468,828,219,2541,737
19,3,4,0,205,99,0,0,304
20,4,4,3,433,112,0,0,548
13,10,5,39,388,162,39,505,45
18,10,4,51,686,178,70,464,381
16,8,5,6,109,28,9,84,50
16,10,4,81,967,265,93,863,357
12,2,5,2,73,144,56,21,142
16,9,5,4,114,35,7,96,50
4,7,6,0,3,1,0,4,0
13,3,0,136,3165,5910,2822,681,5708
13,9,1,334,3531,2028,436,4628,829
16,9,1,218,3000,1351,363,2469,1737
18,9,0,273,4513,1688,483,2522,3469
15,2,0,41,3865,4407,0,0,8313
17,3,0,46,4158,3023,0,0,7227
20,7,0,68,8617,1539,0,0,10224
20,6,-1,57,6042,1035,0,0,7134
12,10,-1,1775,15824,7132,1896,22835,0
15,10,-1,1386,14641,5933,1708,14988,5264
13,5,-1,190,1783,2708,362,2129,2190
15,9,0,524,5275,2821,650,5383,2587
11,10,0,1746,8034,9593,0,19373,0
9,10,0,1280,8295,4852,0,14427,0
14,8,0,496,4862,3569,602,5556,2769
16,8,0,370,4881,2733,652,3652,3680
