14,7,0,641,4896,3481
15,10,0,2508,23058,7879
20,1,-1,766,3021,5960
20,5,-1,0,0,7064
6,10,0,0,6970,0
6,3,1,108,1394,118
17,6,1,332,0,4106
14,9,1,406,3939,1232
21,4,0,0,0,4814
21,8,0,0,0,4519
9,3,1,224,1933,986
20,10,0,10180,2616,20883
16,7,0,649,2954,4117
14,2,0,0,0,8974
19,5,0,0,0,6113
16,10,0,2330,18908,9527
14,10,-1,1791,17762,3680
19,7,-2,0,0,1879
8,10,-2,0,2868,0
16,5,-2,124,0,1716
12,6,-2,198,1327,704
15,4,-1,323,0,3969
15,2,-1,0,0,4277
11,10,-1,0,10906,0
7,6,0,0,1848,0
10,10,0,0,16997,0
14,1,0,656,6829,1385
11,8,0,341,4011,369
13,8,0,732,6740,2233
11,4,0,358,2272,1681
6,6,1,0,1662,0
20,8,0,0,0,10392
13,5,0,733,4375,4241
14,6,1,517,2962,2845
19,1,1,226,1071,1445
21,10,0,1111,0,13598
5,2,1,92,941,82
17,10,0,2077,14831,10657
11,5,1,311,2331,1178
12,5,1,508,3709,2522
16,4,1,0,0,5377
12,7,1,410,4087,1314
15,6,1,436,2189,3054
15,3,2,0,0,2719
12,10,2,674,9012,0
14,6,2,234,1412,1325
20,10,1,5234,1393,10476
21,4,1,0,0,2481
21,5,0,0,0,4885
9,5,0,222,2198,463
18,4,1,0,0,3877
9,8,2,0,1286,0
16,5,2,209,0,2218
10,8,3,45,592,0
16,8,3,64,495,402
19,7,3,0,0,604
5,5,4,0,102,0
11,2,5,12,62,76
15,10,5,33,401,108
21,10,5,18,0,180
21,8,5,0,0,61
12,10,4,105,1666,0
13,2,0,750,0,8696
16,2,0,0,0,7694
19,4,0,0,0,6138
16,3,1,0,0,5193
17,8,1,297,1490,2032
16,8,1,349,2188,2094
7,10,1,0,6350,0
13,3,2,970,250,1815
18,9,1,255,1377,1804
13,7,1,489,3725,1771
21,10,1,608,0,6953
16,5,1,425,0,4804
19,7,2,0,0,1462
16,7,2,165,870,1095
17,9,2,135,829,817
15,5,3,390,106,670
19,2,2,0,0,1744
5,3,3,15,187,0
16,4,4,0,0,467
15,10,3,219,2541,737
19,3,4,0,0,304
20,4,4,0,0,548
13,10,5,39,505,45
18,10,4,70,464,381
16,8,5,9,84,50
16,10,4,93,863,357
12,2,5,56,21,142
16,9,5,7,96,50
4,7,6,0,4,0
13,3,0,2822,681,5708
13,9,1,436,4628,829
16,9,1,363,2469,1737
18,9,0,483,2522,3469
15,2,0,0,0,8313
17,3,0,0,0,7227
20,7,0,0,0,10224
20,6,-1,0,0,7134
12,10,-1,1896,22835,0
15,10,-1,1708,14988,5264
13,5,-1,362,2129,2190
15,9,0,650,5383,2587
11,10,0,0,19373,0
9,10,0,0,14427,0
14,8,0,602,5556,2769
16,8,0,652,3652,3680
19,10,-1,1365,6756,9788
13,6,-1,359,2455,1808
15,6,0,618,3198,4323
12,3,-1,375,1741,2600
11,3,1,305,1793,1715
15,3,1,0,0,5681
13,5,1,520,3187,3004
13,6,0,702,5200,3681
15,10,1,1331,12247,3875
6,10,1,0,4747,0
11,1,2,0,1344,0
19,1,-1,346,1687,2460
15,6,-1,296,1631,2242
10,3,0,291,1930,1386
9,7,0,270,3204,0
21,10,-1,1340,0,16320
21,1,-1,1320,0,3079
16,4,-1,0,0,3977
13,4,0,752,3643,5068
18,6,-1,0,0,3870
17,6,-1,297,0,3747
10,6,-1,135,1352,304
15,8,-1,383,2462,1894
10,10,-1,0,9478,0
16,10,-1,1569,12528,6542
18,10,-2,681,4117,4335
15,5,-1,1293,332,2577
14,6,-1,354,2021,2048
6,8,-1,0,793,0
10,7,0,329,3430,358
19,2,1,0,0,3542
14,1,1,328,3649,684
10,1,1,0,2560,0
19,3,1,0,0,3597
20,6,1,0,0,5576
13,8,1,445,4069,1385
12,4,0,702,4313,4317
17,6,0,566,0,6776
21,7,-1,0,0,3581
18,1,-1,383,2217,2259
16,3,0,0,0,7806
8,10,0,0,12101,0
13,7,0,719,5948,3032
20,10,-1,11620,3013,24067
18,10,-1,1517,8871,9244
6,10,-1,0,3680,0
19,4,-1,0,0,3517
12,10,0,2898,34573,0
19,7,0,0,0,5928
15,4,0,650,0,7651
12,2,0,2794,711,5350
20,7,-1,0,0,7965
13,10,-1,1895,20517,1869
19,8,-2,138,0,1720
13,4,-1,357,1755,2561
14,3,0,669,0,8142
20,2,-1,0,0,7157
16,3,-1,0,0,4112
20,9,-1,603,0,7394
5,4,2,0,501,0
7,10,2,0,3017,0
7,8,0,0,2328,0
18,10,0,1863,11518,11533
13,9,0,726,7310,1533
9,9,0,0,3546,0
8,10,1,0,8114,0
16,1,1,319,2481,1238
12,10,1,1611,19400,0
18,7,1,276,0,3184
18,10,1,955,5604,5485
7,7,1,0,1797,0
13,2,1,524,0,6327
15,8,1,445,2743,1948
18,1,1,232,1412,1337
11,4,2,124,1001,636
17,1,1,265,1889,1288
4,2,2,9,207,0
13,10,1,1560,17716,1635
12,3,1,515,2537,3539
8,6,1,214,2485,0
15,1,0,648,5808,1844
20,6,0,0,0,10859
15,1,-1,451,3848,1274
19,9,-1,1144,290,2476
18,2,-1,0,0,3926
16,7,-1,345,1791,2457
10,2,0,252,1725,1641
17,1,-1,398,2753,2030
17,3,-1,0,0,3991
19,7,-1,0,0,4086
18,5,-1,0,0,3878
20,1,-2,340,1301,2726
19,10,-3,298,1304,2074
7,4,-2,30,371,31
9,10,-2,0,3664,0
6,6,-2,0,315,0
14,3,-2,149,0,1932
11,7,-1,182,1777,385
20,10,-2,4852,1256,10648
18,9,-3,68,313,490
15,7,-3,76,413,504
12,8,-3,99,782,158
14,10,-3,402,3480,845
15,2,-2,0,0,1988
19,1,-3,61,342,538
17,5,0,0,0,7286
13,7,-1,443,3352,1624
7,7,0,0,2321,0
19,3,-1,0,0,3603
21,2,-1,0,0,3206
10,6,0,273,2821,589
17,9,0,550,3161,3342
20,9,0,801,0,9252
13,1,0,748,8224,688
17,8,0,500,2719,3766
18,6,0,0,0,6697
19,3,0,0,0,6157
18,6,1,0,0,3970
17,7,0,2161,538,4328
9,10,1,0,9341,0
15,1,1,342,3125,1011
15,2,1,0,0,5646
18,4,0,0,0,6694
21,10,-2,552,0,7094
15,10,-2,813,7012,2560
16,9,-2,155,1087,829
20,8,-2,0,0,3796
6,9,-2,0,394,0
20,4,0,0,0,10731
13,10,0,2924,32617,2974
17,10,-1,1596,11068,8318
12,7,0,757,6733,2182
15,3,0,0,0,8284
16,9,0,570,4278,3001
19,6,0,0,0,6324
14,10,0,2791,27396,5605
5,10,0,0,4881,0
11,1,0,0,4882,0
21,2,0,0,0,4826
18,8,0,1905,517,3950
12,7,-1,428,3701,1278
16,9,-1,350,2455,1772
21,7,-2,0,0,1773
12,8,-1,417,4100,863
13,9,-1,450,4060,883
11,9,0,353,4317,0
16,6,0,2313,587,4618
14,1,-1,461,4386,922
12,9,0,752,8177,720
11,5,0,339,2736,1347
12,6,0,741,5722,2848
14,4,1,1860,448,3732
14,5,1,498,2416,3251
6,7,2,0,574,0
10,9,2,0,1403,0
20,5,2,0,0,2671
19,8,1,237,0,2821
13,4,2,280,1277,1618
18,10,2,446,2638,2487
18,8,1,1061,235,2006
5,5,2,0,491,0
10,3,3,52,372,232
20,10,3,1053,290,1838
13,10,3,298,3506,303
21,10,3,117,0,1280
14,6,3,89,603,546
6,2,1,123,1305,241
11,10,1,0,11929,0
10,10,1,0,10426,0
18,1,0,497,2879,2828
10,5,0,269,2546,878
20,2,0,0,0,10675
17,4,1,0,0,4481
19,10,1,856,4232,5694
15,7,1,397,2414,2344
10,9,1,0,2945,0
4,6,2,0,246,0
20,9,1,422,0,4543
13,10,2,658,8347,771
14,10,1,1430,14988,2833
15,7,0,661,4016,3899
21,5,-2,0,0,1478
15,1,-2,209,1751,561
13,6,-2,180,1091,862
12,9,-2,199,2024,184
15,6,-2,166,671,1099
10,8,-2,86,876,0
11,6,1,291,2643,857
17,10,-2,723,5146,3958
17,2,-2,0,0,1924
7,8,-2,0,469,0
14,5,-2,161,719,1186
13,10,-2,916,9665,941
9,2,-1,126,790,592
14,1,-2,210,2087,410
18,4,-1,0,0,3927
15,7,-1,381,2111,2369
21,2,-2,0,0,1525
18,1,-2,168,972,1123
20,7,-3,0,0,1695
14,3,-3,69,0,831
14,5,-3,78,334,483
11,1,-3,0,518,0
11,10,-3,0,2224,0
12,4,-2,171,981,1050
17,2,-3,0,0,780
17,3,-3,0,0,804
18,1,-5,14,69,67
15,7,-5,8,59,68
14,4,0,2728,650,5399
21,7,0,0,0,4586
9,2,0,232,1576,1157
16,2,1,0,0,5360
14,7,1,409,2990,2065
6,1,1,0,1172,0
9,1,-1,0,1901,0
21,6,-1,0,0,3222
16,5,-1,299,0,3697
11,2,0,305,1711,2410
20,4,-1,0,0,7051
18,9,-1,340,1626,2463
11,8,-1,208,1975,196
14,6,0,696,4030,4100
19,5,-1,0,0,3573
19,8,0,443,0,5560
8,2,0,150,1419,666
20,3,-1,0,0,7160
11,2,-1,170,815,1123
21,5,-1,0,0,3202
12,2,-1,1400,374,2869
8,10,-1,0,5913,0
12,3,0,711,3523,4934
17,7,-1,1378,345,2851
14,9,-1,413,3547,1269
10,9,0,0,4004,0
4,10,0,0,2340,0
13,4,1,570,2705,3570
12,5,2,252,1757,1138
19,3,2,0,0,1627
11,5,2,143,1058,521
12,4,1,546,3096,3081
20,8,1,0,0,4856
19,1,0,432,2246,3026
14,2,1,0,0,6305
15,9,1,393,3066,1488
8,1,2,0,941,0
11,3,2,134,835,779
7,5,3,29,403,0
18,9,2,125,644,780
14,3,-1,325,0,4216
17,2,-1,0,0,3993
7,3,1,174,1714,341
20,1,1,351,1402,2592
21,1,0,1128,0,2522
11,8,1,213,2787,222
12,8,1,461,4585,867
13,5,2,257,1536,1471
18,2,2,0,0,1833
9,2,2,93,772,501
20,3,2,0,0,2709
21,6,2,0,0,1111
12,9,2,197,2426,205
19,10,2,334,1973,2587
12,7,2,193,1982,587
8,4,3,26,398,80
20,10,2,2558,647,4701
13,7,2,202,1827,797
14,8,2,187,1609,734
17,8,2,142,709,994
18,3,0,0,0,6691
7,4,1,174,1896,172
16,1,0,622,4913,2369
10,4,1,288,2146,1038
6,1,-1,0,901,0
21,6,-2,0,0,1458
14,10,-2,838,8208,1792
18,1,-3,84,467,483
17,6,-3,61,0,719
12,10,-3,407,4553,0
8,2,-2,42,337,156
16,7,-3,69,305,511
18,3,-3,0,0,787
16,3,-2,0,0,1872
15,10,-3,357,3128,1046
18,1,-4,36,185,222
11,2,-3,26,163,203
17,8,-3,54,335,557
16,10,1,1185,10023,4799
9,9,-1,0,1690,0
19,2,-1,0,0,3551
19,1,-2,177,800,1119
14,8,-2,175,1403,736
6,1,-2,0,423,0
18,7,-2,143,0,1947
10,3,-1,124,961,684
18,2,-2,0,0,1769
9,3,0,223,1880,887
16,6,1,1606,414,3139
12,2,2,976,253,1869
20,7,1,0,0,5133
12,9,-1,451,4533,434
12,8,0,739,7407,1488
18,8,-1,1252,311,2605
9,10,-3,0,1607,0
14,1,-3,101,882,154
14,9,-2,185,1538,571
17,5,-2,0,0,1849
20,10,-3,2225,539,4741
