15,10,0,2054,563
8,6,0,125,102
10,1,0,286,42
21,4,47,0,323
14,10,0,2131,555
6,10,0,406,120
12,3,0,450,261
11,1,0,373,49
16,1,0,530,82
15,8,0,492,145
17,8,85,335,150
12,6,0,412,293
13,5,0,416,319
10,4,0,186,134
13,1,0,695,89
16,3,0,371,260
16,10,0,1889,491
13,2,0,507,221
17,2,69,280,214
14,5,0,346,295
6,8,0,87,31
18,5,84,153,303
18,10,217,1110,628
13,10,0,2331,624
11,10,0,1178,315
16,7,0,445,158
17,10,217,1494,483
15,6,0,396,283
15,9,0,495,166
11,3,0,255,167
19,10,177,806,818
11,5,0,204,162
8,4,0,108,85
10,8,0,217,75
11,9,0,261,73
18,1,59,311,126
17,5,55,214,251
20,8,56,63,654
7,4,0,122,80
14,1,0,630,76
19,4,58,106,328
7,10,0,584,157
13,6,0,453,300
20,7,62,57,715
5,10,0,327,76
19,5,59,110,321
5,3,0,49,28
9,10,0,940,266
18,4,67,187,250
16,9,0,462,162
19,9,131,78,186
20,1,123,271,418
16,5,0,363,283
15,3,0,414,257
19,6,63,75,335
8,7,0,168,48
14,7,0,527,186
15,4,0,406,258
15,5,0,309,244
16,4,0,370,273
13,8,0,591,188
14,4,0,353,239
21,3,44,0,322
12,5,0,434,309
20,4,109,83,641
21,6,59,0,348
16,2,0,400,231
20,5,77,81,660
7,7,0,132,51
11,4,0,227,161
19,1,43,238,167
20,10,895,351,1716
7,6,0,109,84
20,2,118,101,581
5,1,0,77,5
13,9,0,608,179
17,4,84,249,224
12,10,0,2243,606
18,6,44,175,287
14,2,0,466,239
19,7,38,55,368
13,3,0,412,256
11,2,0,248,132
12,2,0,435,210
17,7,177,180,134
4,1,0,38,4
6,2,0,82,25
17,3,85,318,211
8,5,0,119,76
18,3,65,168,236
14,8,0,515,173
21,10,127,0,1296
17,1,66,432,69
16,6,0,311,219
19,8,56,64,351
14,6,0,415,300
18,9,65,265,167
6,6,0,57,60
11,7,0,259,96
15,1,0,542,79
20,3,106,91,635
14,9,0,580,154
12,7,0,534,192
21,1,98,0,194
20,6,78,91,630
10,10,0,1022,269
18,8,163,119,147
14,3,0,439,265
12,4,0,417,268
15,2,0,432,244
21,7,31,0,353
8,10,0,717,170
8,1,0,233,21
13,7,0,578,187
17,6,106,224,226
7,5,0,85,87
15,7,0,435,170
13,4,0,452,307
9,3,0,176,97
6,4,0,65,59
19,3,66,114,324
21,8,32,0,365
9,4,0,162,106
8,2,0,132,79
20,9,102,54,627
21,5,41,0,346
9,1,0,250,35
12,1,0,624,96
12,9,0,550,199
11,6,0,209,148
8,9,0,183,39
9,2,0,182,88
8,8,0,174,57
5,7,0,82,19
10,2,0,188,114
12,8,0,571,165
19,2,76,117,290
10,3,0,201,131
10,6,0,178,135
9,6,0,161,112
5,2,0,54,18
10,7,0,230,76
18,7,69,106,301
8,3,0,130,78
11,8,0,287,87
10,5,0,181,150
9,8,0,236,63
18,2,77,218,226
6,7,0,95,32
5,5,0,50,53
21,9,24,0,359
7,1,0,156,24
10,9,0,247,79
4,10,0,120,30
17,9,70,380,120
16,8,0,447,137
7,9,0,147,54
4,2,0,7,7
7,2,0,106,66
7,8,0,149,38
4,9,0,27,12
5,9,0,60,18
9,5,0,145,118
5,4,0,55,38
6,3,0,71,42
5,6,0,53,41
21,2,47,0,326
9,7,0,197,66
6,9,0,102,34
9,9,0,230,67
7,3,0,105,47
6,5,0,70,58
6,1,0,114,15
5,8,0,74,22
4,6,0,21,22
4,8,0,15,5
4,4,0,16,17
4,5,0,23,18
4,7,0,29,3
4,3,0,21,10
